item_code,item,unit,item_group,item_category,2022-04-01,2022-04-04,2022-04-05,2022-04-11,2022-04-18,2022-04-25,2022-04-29,2022-04-30
295,UBAT GIGI FRESH & WHITE (PUDINA SEGAR),160 g,PRODUK KEBERSIHAN,PENJAGAAN DIRI,,,,,,5.82219512195122,,
299,LACTOGEN 1 RUMUSAN BAYI (KOTAK),650g,SUSU DAN BARANGAN BAYI,SUSU BAYI,25.549999999999997,25.565499999999997,25.9,25.57564417177914,25.556932515337422,25.553841463414635,25.5289375,
300,LACTOGEN 2 RUMUSAN SUSULAN (KOTAK),650g,SUSU DAN BARANGAN BAYI,SUSU BAYI,25.499999999999996,25.52993865030675,25.9,25.53602409638554,25.475569620253165,25.480484848484846,25.464259259259258,
303,ENFAGROW A+ MIND PRO LANGKAH 3 VANILLA (KOTAK),600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,53.9,49.6,,49.652499999999996,50.059999999999995,50.36764705882353,50.13870967741936,
320,SUSU SEJAT PENUH KRIM CAP IDEAL,390g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,4.15,4.303536585365854,,4.285,4.2873417721518985,4.267349397590362,4.263734939759036,
327,SUSU TEPUNG ISIAN KURANG LEMAK 'OMEGA PLUS',1kg,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,44.375,45.79369565217391,,45.90131868131868,46.019793814432994,46.106458333333336,46.0256043956044,46.89
332,SUSU TEPUNG SEGERA FERNLEAF (INSTANT),550 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,15.9,15.898484848484852,,15.980985915492958,16.038059701492536,16.07272727272727,16.063125,
334,SUSU ANLENE ACTIFIT 3X PERISA ASLI,600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,20.771428571428572,20.860391061452514,21.0,20.88157608695652,20.79973404255319,20.8125,20.791578947368418,
335,SUSU ANLENE GOLD 5X,600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,23.071428571428573,23.335310734463274,23.6,23.33615384615385,23.34521978021978,23.348983957219254,23.333202247191014,
336,ANMUM MATERNA (BIASA/COKLAT),650g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,37.800000000000004,37.485631067961165,,37.52,37.50933333333333,37.515882352941176,37.5402,
343,KULIT KAYU MANIS,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),4.38,4.416904761904762,,4.381666666666667,4.389787234042553,4.3564,4.381063829787234,
