item_code,item,unit,item_group,item_category,2022-01-01,2022-01-02,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31
344,SUSU TEPUNG SEGERA EVERYDAY,550 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,19.09037037037037,,19.102147239263804,19.13050314465409,19.130769230769232,19.15375,19.167894736842104
345,SUSU TEPUNG ISIAN KURANG LEMAK 'OMEGA PLUS',600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,30.569479768786124,,30.562369942196533,30.597116564417178,30.572545454545455,30.62189349112426,30.667070063694265
350,SERBUK KARI IKAN BABAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),4.654672131147541,,4.653519999999999,4.6568571428571435,4.659741379310344,4.677659574468085,4.705571428571428
360,SUP BUNJUT ADABI,8 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),1.3177560975609754,,1.316857142857143,1.3179310344827586,1.317076923076923,1.315969387755102,1.3202873563218391
361,SUP PUNJUT MAK SITI,10 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),1.3761904761904762,,1.3818181818181818,1.3818181818181818,1.3857142857142857,1.3842105263157893,1.3888888888888888
364,SERBUK CILI BABAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),5.3817488789237675,,5.375022421524664,5.375525114155251,5.38529702970297,5.381477832512315,5.3985641025641025
365,SERBUK KUNYIT CAMPURAN (SEBATIAN) ADABI,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),5.5112903225806456,,5.4959999999999996,5.499802631578947,5.537142857142857,5.58031847133758,5.648733333333333
367,SERBUK KUNYIT BABAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),4.807931034482759,,4.801564245810056,4.799882352941177,4.78377245508982,4.790292397660819,4.804390243902438
368,KACANG TANAH (IMPORT),1kg,BARANGAN KERING,KACANG,9.215584415584416,,9.208695652173912,9.246516129032258,9.315354838709679,9.343694267515923,9.460211267605633
388,KRIMER MANIS CAP JUNJUNG,500 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,3.6548000000000003,,3.6527999999999996,3.6706976744186046,3.6664583333333334,3.6772549019607843,3.6897777777777776
716,CILI API/PADI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,25.7104,,26.160833333333333,25.72826086956522,25.76782608695652,26.612857142857145,25.79714285714286
843,ANMUM LACTA (BIASA),650g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,37.78,,37.72476923076923,37.72898305084746,37.752419354838715,37.73032786885246,37.771475409836064
845,SOTONG (≥ 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,36.410625,,35.85647058823529,35.61194444444445,35.77764705882353,36.092121212121214,37.365
847,KETAM RENJONG/BUNGA (ANTARA 5 HINGGA 8 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,35.135,,35.544666666666664,34.166875,36.96272727272727,35.26352941176471,34.74777777777778
849,UDANG PUTIH KECIL (b	% 61 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,20.684666666666665,,20.218,20.825454545454544,21.50583333333333,21.576999999999998,21.24785714285714
850,UDANG HARIMAU (ANTARA 20 HINGGA 30 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,38.330000000000005,,40.121428571428574,39.943333333333335,40.39714285714286,40.98,41.705
861,UBI KENTANG HOLLAND,1kg,BARANGAN KERING,UBI KENTANG,3.7821428571428575,,3.7724137931034485,3.736,3.764,3.8166666666666664,3.923809523809524
863,JINTAN MANIS (KASAR),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),1.5994285714285716,,1.6045945945945945,1.6352777777777776,1.6289189189189188,1.6228947368421054,1.6344117647058825
864,BUNGA CENGKIH,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),7.46,,7.544594594594594,7.241351351351351,7.1956410256410255,7.171219512195122,7.174411764705883
865,BUNGA LAWANG,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),7.2734883720930235,,7.355384615384616,7.245348837209303,7.215476190476191,7.207173913043479,7.231538461538461
