item_code,item,unit,item_group,item_category,2022-07-04,2022-07-05,2022-07-07,2022-07-08,2022-07-11,2022-07-18,2022-07-25,2022-07-26,2022-07-27,2022-07-29
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,6.0,0.0,1.0,4.0,1.0,7.0,6.0,0.0,0.0,0.0
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,3.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,17.0,0.0,1.0,9.0,4.0,11.0,12.0,0.0,0.0,1.0
60,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,4.0,0.0,1.0,3.0,1.0,2.0,6.0,0.0,0.0,0.0
64,KEPALA IKAN MERAH,1kg,BARANGAN SEGAR,BAHAN LAUT,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0
65,IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,2.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
66,IKAN PARANG (ANTARA 1 HINGGA 3 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
68,IKAN PARI (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,3.0,0.0,1.0,3.0,0.0,5.0,4.0,0.0,0.0,0.0
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,4.0,0.0,1.0,3.0,0.0,4.0,7.0,0.0,0.0,0.0
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,16.0,0.0,5.0,6.0,2.0,10.0,13.0,0.0,0.0,0.0
71,IKAN SELAYANG/SARDIN  (≥ 13 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,31.0,0.0,14.0,8.0,2.0,25.0,33.0,0.0,0.0,1.0
73,IKAN SENANGIN (ANTARA 2 HINGGA 8 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,3.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
78,IKAN TAMBAN BELURU (ANTARA 10 HINGGA 19 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
79,IKAN TENGGIRI PAPAN (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82,IKAN TENGGIRI BATANG (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
83,IKAN TONGKOL/AYA/KAYU HITAM (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,22.0,0.0,9.0,10.0,1.0,21.0,23.0,0.0,0.0,1.0
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,5.0,0.0,2.0,3.0,0.0,8.0,8.0,0.0,0.0,1.0
89,IKAN TILAPIA HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
92,CILI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,39.0,0.0,5.0,25.0,11.0,39.0,39.0,0.0,0.0,2.0
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,38.0,0.0,17.0,17.0,5.0,34.0,28.0,0.0,0.0,1.0
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,22.0,0.0,6.0,13.0,4.0,27.0,29.0,0.0,0.0,3.0
95,HALIA BASAH (TUA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,145.0,0.0,44.0,87.0,14.0,144.0,147.0,0.0,0.0,4.0
96,KACANG BENDI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,54.0,0.0,21.0,32.0,10.0,58.0,60.0,0.0,0.0,3.0
97,KACANG BUNCIS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,43.0,0.0,6.0,28.0,6.0,43.0,42.0,0.0,0.0,3.0
98,KACANG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,39.0,0.0,16.0,23.0,9.0,48.0,50.0,0.0,0.0,2.0
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,15.0,0.0,0.0,10.0,5.0,14.0,14.0,0.0,0.0,0.0
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,3.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,5.0,0.0,1.0,4.0,0.0,5.0,5.0,0.0,0.0,0.0
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,35.0,0.0,10.0,24.0,2.0,33.0,32.0,0.0,0.0,2.0
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,25.0,0.0,8.0,13.0,4.0,24.0,25.0,0.0,0.0,1.0
108,KUNYIT HIDUP,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,65.0,0.0,28.0,24.0,11.0,63.0,63.0,0.0,0.0,3.0
109,LOBAK MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,77.0,0.0,28.0,38.0,11.0,78.0,80.0,0.0,0.0,3.0
112,TERUNG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,51.0,0.0,20.0,25.0,8.0,55.0,49.0,0.0,0.0,2.0
